id,predict_label
1,center
2,center
3,curved
4,symmetric
5,diagonal
6,center
7,curved
8,curved
9,curved
10,center
11,curved
12,curved
13,curved
14,center
15,center
16,curved
17,curved
18,symmetric
19,curved
20,center
21,center
22,center
23,curved
24,curved
25,center
26,center
27,center
28,center
29,center
30,center
31,center
32,center
33,curved
34,curved
35,center
36,center
37,center
38,center
39,center
40,curved
41,center
42,center
43,curved
44,curved
45,center
46,center
47,center
48,curved
49,curved
50,center
51,center
52,center
53,center
54,center
55,center
56,center
57,curved
58,curved
59,curved
60,curved
61,curved
62,diagonal
63,center
64,curved
65,center
66,triangle
67,curved
68,center
69,curved
70,center
71,curved
72,center
73,center
74,center
75,center
76,center
77,center
78,center
79,center
80,pattern
81,center
82,center
83,center
84,center
85,center
86,center
87,curved
88,pattern
89,diagonal
90,triangle
91,center
92,center
93,curved
94,center
95,center
96,center
97,center
98,curved
99,center
100,center
101,center
102,center
103,curved
104,curved
105,center
106,center
107,center
108,curved
109,curved
110,curved
111,center
112,center
113,center
114,center
115,center
116,center
117,curved
118,curved
119,center
120,curved
121,curved
122,center
123,curved
124,center
125,center
126,curved
127,symmetric
128,center
129,curved
130,center
131,curved
132,center
133,center
134,diagonal
135,center
136,diagonal
137,center
138,center
139,center
140,diagonal
141,center
142,diagonal
143,diagonal
144,diagonal
145,center
146,diagonal
147,curved
148,center
149,diagonal
150,RoT
151,triangle
152,center
153,curved
154,center
155,center
156,center
157,curved
158,center
159,center
160,center
161,curved
162,center
163,curved
164,curved
165,curved
166,curved
167,center
168,center
169,center
170,center
171,curved
172,center
173,curved
174,center
175,center
176,symmetric
177,curved
178,center
179,curved
180,curved
181,curved
182,curved
183,center
184,center
185,curved
186,curved
187,curved
188,curved
189,center
190,center
191,curved
192,curved
193,curved
194,center
195,center
196,center
197,curved
198,center
199,curved
200,curved
201,center
202,curved
203,curved
204,curved
205,center
206,curved
207,curved
208,diagonal
209,center
210,center
211,curved
212,center
213,curved
214,curved
215,center
216,curved
217,curved
218,center
219,curved
220,curved
221,center
222,curved
223,curved
224,curved
225,center
226,center
227,curved
228,curved
229,center
230,curved
231,curved
232,center
233,pattern
234,center
235,triangle
236,center
237,curved
238,center
239,center
240,curved
241,pattern
242,pattern
243,diagonal
244,curved
245,curved
246,center
247,curved
248,curved
249,center
250,center
251,center
252,center
253,center
254,center
255,curved
256,center
257,curved
258,diagonal
259,center
260,center
261,center
262,center
263,curved
264,center
265,center
266,center
267,curved
268,curved
269,curved
270,center
271,center
272,curved
273,center
274,center
275,center
276,center
277,curved
278,curved
279,center
280,curved
281,symmetric
282,curved
283,curved
284,center
285,triangle
286,center
287,center
288,center
289,center
290,center
291,center
292,curved
293,center
294,curved
295,curved
296,center
297,center
298,center
299,curved
300,center
301,center
302,triangle
303,center
304,curved
305,curved
306,center
307,center
308,center
309,center
310,center
311,pattern
312,center
313,center
314,curved
315,center
316,curved
317,center
318,pattern
319,center
320,curved
321,center
322,center
323,center
324,pattern
325,curved
326,center
327,pattern
328,pattern
329,curved
330,curved
331,center
332,center
333,center
334,center
335,center
336,diagonal
337,center
338,center
339,curved
340,center
341,center
342,center
343,curved
344,curved
345,symmetric
346,center
347,center
348,triangle
349,center
350,curved
351,center
352,center
353,center
354,curved
355,center
356,center
357,curved
358,center
359,curved
360,curved
361,center
362,center
363,curved
364,center
365,curved
366,curved
367,center
368,symmetric
369,center
370,pattern
371,center
372,center
373,center
374,center
375,center
376,center
377,center
378,curved
379,curved
380,curved
381,center
382,curved
383,symmetric
384,center
385,center
386,center
387,pattern
388,horizontal
389,center
390,center
391,curved
392,diagonal
393,center
394,center
395,curved
396,center
397,center
398,center
399,center
400,center
401,center
402,center
403,curved
404,center
405,curved
406,center
407,center
408,curved
409,center
410,center
411,center
412,center
413,center
414,center
415,curved
416,center
417,curved
418,center
419,center
420,center
421,center
422,triangle
423,center
424,center
425,horizontal
426,curved
427,pattern
428,center
429,triangle
430,center
431,curved
432,curved
433,curved
434,curved
435,curved
436,curved
437,center
438,curved
439,center
440,curved
441,center
442,curved
443,curved
444,curved
445,curved
446,center
447,center
448,curved
449,center
450,center
451,center
452,curved
453,center
454,center
455,center
456,center
457,center
458,curved
459,center
460,center
461,center
462,center
463,center
464,center
465,curved
466,curved
467,center
468,curved
469,center
470,center
471,curved
472,center
473,horizontal
474,center
475,symmetric
476,curved
477,center
478,curved
479,center
480,curved
481,center
482,center
483,center
484,center
485,center
486,center
487,center
488,center
489,curved
490,center
491,curved
492,curved
493,center
494,curved
495,center
496,curved
497,curved
498,curved
499,center
500,curved
501,curved
502,curved
503,center
504,center
505,curved
506,center
507,center
508,curved
509,center
510,curved
511,curved
512,triangle
513,center
514,center
515,curved
516,center
517,curved
518,curved
519,center
520,diagonal
521,curved
522,curved
523,center
524,center
525,curved
526,center
527,center
528,center
529,center
530,curved
531,center
532,center
533,center
534,center
535,curved
536,curved
537,center
538,curved
539,triangle
540,center
541,center
542,curved
543,curved
544,center
545,curved
546,curved
547,center
548,center
549,curved
550,curved
551,curved
552,symmetric
553,center
554,curved
555,center
556,center
557,triangle
558,center
559,curved
560,curved
561,curved
562,curved
563,curved
564,curved
565,curved
566,center
567,center
568,pattern
569,curved
570,curved
571,horizontal
572,diagonal
573,center
574,center
575,center
576,center
577,center
578,center
579,curved
580,center
581,center
582,center
583,center
584,curved
585,center
586,curved
587,center
588,curved
589,curved
590,center
591,center
592,diagonal
593,curved
594,curved
595,center
596,center
597,curved
598,curved
599,curved
600,curved
601,center
602,center
603,curved
604,center
605,center
606,center
607,center
608,curved
609,curved
610,center
611,curved
612,center
613,curved
614,center
615,diagonal
616,center
617,center
618,center
619,horizontal
620,diagonal
621,center
622,curved
623,center
624,center
625,curved
626,curved
627,curved
628,center
629,curved
630,center
631,curved
632,curved
633,center
634,center
635,curved
636,center
637,center
638,center
639,center
640,curved
641,center
642,diagonal
643,center
644,center
645,center
646,center
647,curved
648,curved
649,triangle
650,center
651,curved
652,center
653,curved
654,center
655,horizontal
656,center
657,diagonal
658,center
659,center
660,center
661,diagonal
662,center
663,center
664,curved
665,center
666,center
667,center
668,curved
669,center
670,center
671,center
672,center
673,center
674,symmetric
675,curved
676,center
677,curved
678,center
679,center
680,triangle
681,center
682,center
683,curved
684,center
685,center
686,curved
687,center
688,center
689,center
690,center
691,center
692,curved
693,center
694,curved
695,diagonal
696,curved
697,center
698,curved
699,center
700,center
701,curved
702,center
703,center
704,center
705,center
706,curved
707,center
708,symmetric
709,curved
710,curved
711,center
712,curved
713,triangle
714,curved
715,center
716,curved
717,triangle
718,curved
719,center
720,center
721,curved
722,center
723,center
724,center
725,curved
726,center
727,curved
728,diagonal
729,curved
730,center
731,curved
732,center
733,diagonal
734,curved
735,curved
736,curved
737,triangle
738,curved
739,center
740,curved
741,curved
742,curved
743,center
744,center
745,center
746,center
747,curved
748,center
749,center
750,curved
751,curved
752,center
753,center
754,curved
755,center
756,center
757,curved
758,curved
759,curved
760,curved
761,center
762,center
763,curved
764,curved
765,center
766,curved
767,curved
768,center
769,curved
770,center
771,curved
772,center
773,curved
774,center
775,center
776,curved
777,center
778,center
779,center
780,curved
781,curved
782,curved
783,center
784,curved
785,curved
786,curved
787,center
788,curved
789,curved
790,curved
791,center
792,curved
793,curved
794,curved
795,center
796,pattern
797,curved
798,center
799,curved
800,curved
801,curved
802,center
803,center
804,center
805,center
806,center
807,center
808,center
809,curved
810,center
811,center
812,center
813,diagonal
814,center
815,center
816,curved
817,curved
818,center
819,curved
820,center
821,diagonal
822,center
823,curved
824,center
825,center
826,curved
827,curved
828,center
829,center
830,curved
831,curved
832,curved
833,center
834,curved
835,center
836,pattern
837,center
838,center
839,center
840,center
841,center
842,center
843,curved
844,center
845,curved
846,curved
847,center
848,center
849,center
850,center
851,curved
852,center
853,diagonal
854,diagonal
855,center
856,curved
857,curved
858,center
859,curved
860,center
861,center
862,symmetric
863,curved
864,center
865,center
866,center
867,center
868,center
869,curved
870,center
871,triangle
872,center
873,center
874,center
875,center
876,curved
877,center
878,center
879,center
880,center
881,center
882,curved
883,curved
884,center
885,curved
886,center
887,curved
888,curved
889,curved
890,center
891,pattern
892,center
893,center
894,center
895,center
896,curved
897,pattern
898,curved
899,symmetric
900,center
901,center
902,curved
903,symmetric
904,center
905,curved
906,curved
907,curved
908,curved
909,center
910,curved
911,center
912,symmetric
913,center
914,center
915,center
916,curved
917,center
918,center
919,curved
920,center
921,center
922,center
923,center
924,center
925,center
926,center
927,center
928,center
929,center
930,symmetric
931,center
932,center
933,center
934,center
935,center
936,center
937,center
938,curved
939,diagonal
940,center
941,center
942,center
943,curved
944,center
945,curved
946,curved
947,center
948,center
949,center
950,center
951,center
952,center
953,curved
954,horizontal
955,center
956,triangle
957,center
958,diagonal
959,diagonal
960,curved
961,center
962,center
963,center
964,center
965,curved
966,center
967,center
968,triangle
969,diagonal
970,triangle
971,center
972,triangle
973,center
974,diagonal
975,curved
976,center
977,symmetric
978,center
979,center
980,center
981,triangle
982,center
983,curved
984,center
985,center
986,symmetric
987,center
988,center
989,curved
990,center
991,center
992,center
993,center
994,center
995,center
996,center
997,curved
998,horizontal
999,pattern
1000,center
