id,predict_label
1,center
2,center
3,center
4,center
5,center
6,curved
7,center
8,center
9,diagonal
10,curved
11,center
12,center
13,curved
14,center
15,center
16,center
17,curved
18,center
19,curved
20,curved
21,center
22,center
23,curved
24,center
25,center
26,center
27,center
28,center
29,center
30,center
31,center
32,center
33,center
34,center
35,center
36,center
37,center
38,center
39,center
40,curved
41,center
42,center
43,curved
44,center
45,center
46,center
47,curved
48,center
49,center
50,center
51,curved
52,center
53,center
54,center
55,curved
56,center
57,center
58,symmetric
59,center
60,center
61,center
62,center
63,center
64,center
65,center
66,curved
67,center
68,curved
69,center
70,center
71,center
72,curved
73,center
74,center
75,center
76,center
77,center
78,triangle
79,center
80,curved
81,center
82,curved
83,center
84,diagonal
85,curved
86,curved
87,center
88,center
89,center
90,center
91,center
92,center
93,curved
94,center
95,center
96,center
97,center
98,center
99,curved
100,curved
101,center
102,center
103,center
104,center
105,center
106,center
107,center
108,curved
109,curved
110,center
111,center
112,center
113,center
114,center
115,curved
116,center
117,curved
118,curved
119,curved
120,center
121,center
122,curved
123,center
124,curved
125,RoT
126,center
127,triangle
128,center
129,center
130,curved
131,center
132,curved
133,curved
134,horizontal
135,center
136,curved
137,center
138,curved
139,center
140,pattern
141,center
142,center
143,center
144,center
145,center
146,center
147,center
148,curved
149,curved
150,center
151,center
152,center
153,center
154,center
155,center
156,center
157,center
158,curved
159,pattern
160,center
161,center
162,curved
163,center
164,RoT
165,center
166,center
167,center
168,center
169,center
170,center
171,center
172,center
173,center
174,RoT
175,center
176,curved
177,center
178,center
179,curved
180,curved
181,center
182,center
183,curved
184,curved
185,center
186,center
187,center
188,center
189,curved
190,center
191,center
192,curved
193,center
194,center
195,curved
196,curved
197,center
198,center
199,center
200,curved
201,center
202,center
203,curved
204,diagonal
205,curved
206,curved
207,center
208,center
209,RoT
210,center
211,curved
212,curved
213,center
214,center
215,center
216,center
217,center
218,center
219,center
220,curved
221,center
222,center
223,center
224,center
225,center
226,curved
227,center
228,curved
229,curved
230,curved
231,center
232,center
233,center
234,center
235,center
236,center
237,center
238,center
239,center
240,center
241,pattern
242,center
243,center
244,center
245,center
246,curved
247,center
248,curved
249,RoT
250,center
251,horizontal
252,center
253,RoT
254,center
255,RoT
256,horizontal
257,center
258,curved
259,center
260,center
261,center
262,RoT
263,center
264,triangle
265,center
266,center
267,curved
268,curved
269,curved
270,curved
271,center
272,center
273,center
274,center
275,pattern
276,curved
277,curved
278,center
279,curved
280,diagonal
281,curved
282,center
283,center
284,curved
285,center
286,center
287,center
288,curved
289,center
290,center
291,center
292,RoT
293,center
294,center
295,center
296,curved
297,symmetric
298,curved
299,center
300,center
301,center
302,center
303,center
304,curved
305,center
306,curved
307,horizontal
308,center
309,center
310,RoT
311,center
312,curved
313,center
314,center
315,curved
316,diagonal
317,center
318,curved
319,center
320,center
321,curved
322,center
323,center
324,center
325,center
326,center
327,RoT
328,center
329,curved
330,curved
331,center
332,center
333,center
334,center
335,center
336,curved
337,curved
338,center
339,curved
340,center
341,center
342,center
343,center
344,RoT
345,center
346,curved
347,center
348,curved
349,center
350,curved
351,curved
352,curved
353,curved
354,center
355,curved
356,center
357,center
358,center
359,center
360,RoT
361,center
362,center
363,center
364,center
365,curved
366,center
367,center
368,center
369,center
370,center
371,center
372,center
373,diagonal
374,center
375,center
376,pattern
377,center
378,center
379,center
380,curved
381,curved
382,center
383,curved
384,curved
385,pattern
386,center
387,center
388,center
389,center
390,center
391,center
392,center
393,center
394,center
395,center
396,diagonal
397,center
398,center
399,curved
400,curved
401,center
402,center
403,center
404,curved
405,center
406,center
407,center
408,center
409,center
410,center
411,center
412,center
413,center
414,center
415,curved
416,center
417,RoT
418,RoT
419,horizontal
420,curved
421,curved
422,curved
423,curved
424,pattern
425,center
426,curved
427,curved
428,diagonal
429,curved
430,curved
431,curved
432,center
433,curved
434,center
435,center
436,curved
437,center
438,curved
439,curved
440,center
441,center
442,curved
443,center
444,RoT
445,center
446,curved
447,center
448,center
449,center
450,curved
451,curved
452,center
453,center
454,curved
455,RoT
456,center
457,center
458,center
459,curved
460,curved
461,center
462,center
463,center
464,center
465,center
466,curved
467,center
468,curved
469,curved
470,center
471,center
472,pattern
473,center
474,curved
475,center
476,center
477,center
478,curved
479,curved
480,center
481,center
482,center
483,curved
484,center
485,center
486,center
487,center
488,center
489,curved
490,curved
491,center
492,curved
493,center
494,RoT
495,center
496,center
497,curved
498,center
499,curved
500,center
501,curved
502,curved
503,curved
504,curved
505,RoT
506,curved
507,center
508,center
509,center
510,center
511,center
512,center
513,center
514,RoT
515,RoT
516,center
517,center
518,center
519,center
520,curved
521,center
522,center
523,center
524,curved
525,center
526,center
527,curved
528,center
529,center
530,center
531,curved
532,center
533,curved
534,horizontal
535,curved
536,curved
537,curved
538,curved
539,curved
540,center
541,center
542,RoT
543,horizontal
544,center
545,center
546,curved
547,center
548,center
549,center
550,center
551,center
552,center
553,curved
554,center
555,center
556,curved
557,center
558,center
559,center
560,center
561,center
562,curved
563,curved
564,center
565,center
566,center
567,center
568,curved
569,curved
570,center
571,center
572,center
573,center
574,center
575,center
576,center
577,curved
578,curved
579,horizontal
580,center
581,curved
582,curved
583,center
584,center
585,center
586,center
587,center
588,center
589,center
590,center
591,center
592,center
593,center
594,center
595,center
596,center
597,center
598,center
599,center
600,center
601,center
602,center
603,curved
604,curved
605,curved
606,center
607,center
608,pattern
609,center
610,center
611,center
612,center
613,pattern
614,curved
615,center
616,center
617,center
618,center
619,curved
620,center
621,center
622,curved
623,center
624,center
625,center
626,center
627,center
628,curved
629,center
630,center
631,center
632,curved
633,curved
634,diagonal
635,triangle
636,diagonal
637,diagonal
638,curved
639,center
640,center
641,center
642,center
643,center
644,curved
645,curved
646,center
647,curved
648,center
649,curved
650,center
651,center
652,curved
653,center
654,center
655,center
656,center
657,diagonal
658,center
659,curved
660,center
661,pattern
662,center
663,center
664,center
665,center
666,center
667,center
668,center
669,center
670,center
671,center
672,center
673,center
674,curved
675,center
676,center
677,curved
678,center
679,curved
680,center
681,curved
682,vertical
683,center
684,diagonal
685,curved
686,curved
687,curved
688,curved
689,curved
690,center
691,center
692,RoT
693,center
694,curved
695,curved
696,center
697,center
698,center
699,center
700,center
701,center
702,center
703,curved
704,curved
705,center
706,curved
707,center
708,center
709,center
710,center
711,curved
712,curved
713,center
714,curved
715,curved
716,center
717,RoT
718,center
719,center
720,center
721,curved
722,center
723,center
724,center
725,center
726,RoT
727,center
728,curved
729,center
730,pattern
731,curved
732,center
733,horizontal
734,RoT
735,center
736,center
737,center
738,center
739,curved
740,center
741,center
742,center
743,curved
744,RoT
745,center
746,center
747,center
748,RoT
749,curved
750,center
751,center
752,center
753,center
754,center
755,RoT
756,center
757,center
758,center
759,center
760,center
761,center
762,pattern
763,center
764,center
765,curved
766,curved
767,curved
768,center
769,curved
770,curved
771,curved
772,center
773,center
774,center
775,curved
776,curved
777,center
778,center
779,center
780,center
781,center
782,center
783,center
784,center
785,center
786,center
787,center
788,center
789,center
790,curved
791,RoT
792,center
793,curved
794,center
795,pattern
796,RoT
797,RoT
798,pattern
799,curved
800,curved
801,curved
802,curved
803,center
804,center
805,center
806,center
807,center
808,center
809,center
810,RoT
811,center
812,triangle
813,curved
814,curved
815,curved
816,center
817,curved
818,curved
819,center
820,center
821,center
822,center
823,center
824,curved
825,center
826,center
827,curved
828,curved
829,curved
830,center
831,center
832,center
833,horizontal
834,center
835,center
836,curved
837,center
838,curved
839,center
840,center
841,RoT
842,horizontal
843,center
844,center
845,center
846,center
847,curved
848,center
849,center
850,center
851,center
852,curved
853,RoT
854,center
855,center
856,center
857,curved
858,center
859,center
860,center
861,center
862,curved
863,curved
864,center
865,center
866,curved
867,center
868,horizontal
869,triangle
870,center
871,diagonal
872,curved
873,center
874,curved
875,curved
876,center
877,center
878,curved
879,curved
880,center
881,center
882,center
883,center
884,curved
885,center
886,center
887,center
888,center
889,center
890,RoT
891,curved
892,center
893,center
894,center
895,center
896,curved
897,center
898,curved
899,curved
900,curved
901,curved
902,pattern
903,center
904,center
905,center
906,center
907,curved
908,center
909,curved
910,center
911,center
912,center
913,curved
914,RoT
915,center
916,center
917,curved
918,center
919,center
920,center
921,center
922,curved
923,center
924,center
925,center
926,center
927,center
928,center
929,center
930,center
931,center
932,center
933,center
934,center
935,center
936,center
937,center
938,center
939,curved
940,curved
941,curved
942,center
943,curved
944,center
945,curved
946,curved
947,center
948,curved
949,center
950,curved
951,curved
952,center
953,curved
954,curved
955,center
956,RoT
957,curved
958,center
959,center
960,curved
961,center
962,center
963,curved
964,center
965,center
966,center
967,center
968,center
969,center
970,center
971,pattern
972,center
973,diagonal
974,diagonal
975,curved
976,center
977,center
978,center
979,RoT
980,center
981,curved
982,center
983,center
984,curved
985,center
986,center
987,center
988,center
989,center
990,center
991,center
992,center
993,center
994,curved
995,center
996,center
997,curved
998,center
999,RoT
1000,curved
1001,curved
1002,center
1003,center
1004,center
1005,center
1006,center
1007,center
1008,center
1009,diagonal
1010,center
1011,center
1012,curved
1013,center
1014,center
1015,center
1016,center
1017,center
1018,RoT
1019,center
1020,curved
1021,curved
1022,RoT
1023,curved
1024,triangle
