id,predict_svm,predict_label
1,0,curved
2,0,center
3,1,center
4,1,center
5,1,curved
6,0,curved
7,0,center
8,0,center
9,0,diagonal
10,0,center
11,0,curved
12,1,center
13,0,center
14,0,center
15,1,curved
16,0,center
17,0,curved
18,0,curved
19,1,curved
20,1,center
21,1,center
22,0,center
23,0,curved
24,1,center
25,0,center
26,1,curved
27,1,curved
28,1,center
29,0,curved
30,1,curved
31,0,center
32,0,center
33,1,center
34,0,symmetric
35,1,center
36,1,center
37,0,diagonal
38,0,diagonal
39,0,curved
40,0,curved
41,1,curved
42,1,curved
43,0,curved
44,1,curved
45,0,RoT
46,1,curved
47,1,curved
48,0,curved
49,1,center
50,1,curved
51,0,center
52,1,center
53,0,curved
54,1,center
55,1,curved
56,0,center
57,1,center
58,1,curved
59,1,curved
60,1,RoT
61,1,center
62,1,curved
63,0,curved
64,0,curved
65,0,center
66,0,curved
67,0,curved
68,1,center
69,1,center
70,1,curved
71,0,curved
72,0,center
73,1,center
74,0,curved
75,1,center
76,1,center
77,1,center
78,1,curved
79,0,curved
80,1,center
81,0,curved
82,0,center
83,0,center
84,1,RoT
85,1,center
86,1,center
87,1,curved
88,0,curved
89,1,center
90,1,RoT
91,1,pattern
92,0,center
93,0,center
94,0,center
95,0,curved
96,1,curved
97,0,center
98,1,curved
99,0,center
100,1,curved
101,1,center
102,0,curved
103,0,center
104,0,curved
105,0,curved
106,0,curved
107,1,center
108,1,center
109,1,curved
110,0,center
111,0,curved
112,0,curved
113,1,center
114,1,center
115,1,curved
116,0,center
117,0,curved
118,1,curved
119,1,center
120,1,center
121,0,center
122,1,curved
123,0,center
124,1,horizontal
125,0,center
126,0,center
127,0,center
128,0,center
129,0,curved
130,0,curved
131,1,center
132,0,curved
133,0,curved
134,0,curved
135,1,curved
136,0,center
137,1,center
138,1,center
139,0,curved
140,0,center
141,0,curved
142,0,curved
143,0,curved
144,1,center
145,1,center
146,1,curved
147,0,curved
148,1,curved
149,0,center
150,0,center
151,1,diagonal
152,0,curved
153,1,center
154,0,diagonal
155,0,curved
156,0,curved
157,0,curved
158,1,center
159,0,curved
160,1,center
161,1,diagonal
162,0,curved
163,1,center
164,0,symmetric
165,1,center
166,1,center
167,1,center
168,0,curved
169,0,center
170,1,curved
171,1,curved
172,1,horizontal
173,1,curved
174,0,curved
175,0,center
176,1,center
